지역명,전용면적,연도,월,평당분양가격
충남,모든면적,2015,11,6930.0
충남,60m²,2015,11,7306.2
충남,60m²~85m²,2015,11,6946.5
충남,85m²~102m²,2015,11,8325.9
충남,102m²~,2015,11,8144.4
전북,모든면적,2015,11,6788.099999999999
전북,60m²,2015,11,7025.7
전북,60m²~85m²,2015,11,6788.099999999999
전북,85m²~102m²,2015,11,7844.099999999999
전북,102m²~,2015,11,7530.599999999999
전남,모든면적,2015,11,6299.7
전남,60m²,2015,11,6596.7
전남,60m²~85m²,2015,11,6289.799999999999
전남,85m²~102m²,2015,11,7464.599999999999
전남,102m²~,2015,11,7180.799999999999
경북,모든면적,2015,11,7227.0
경북,60m²,2015,11,7293.0
경북,60m²~85m²,2015,11,7213.799999999999
경북,85m²~102m²,2015,11,8302.8
경북,102m²~,2015,11,7821.0
경남,모든면적,2015,11,7583.4
경남,60m²,2015,11,7260.0
경남,60m²~85m²,2015,11,7662.599999999999
경남,85m²~102m²,2015,11,9834.0
경남,102m²~,2015,11,10041.9
제주,모든면적,2015,11,7365.599999999999
제주,60m²,2015,11,
제주,60m²~85m²,2015,11,7342.5
제주,85m²~102m²,2015,11,8523.9
제주,102m²~,2015,11,8494.199999999999
서울,모든면적,2015,12,19935.3
서울,60m²,2015,12,20859.3
서울,60m²~85m²,2015,12,19687.8
서울,85m²~102m²,2015,12,21492.899999999998
서울,102m²~,2015,12,21618.3
인천,모든면적,2015,12,10507.199999999999
인천,60m²,2015,12,10982.4
인천,60m²~85m²,2015,12,10292.699999999999
인천,85m²~102m²,2015,12,11698.5
인천,102m²~,2015,12,11246.4
경기,모든면적,2015,12,10553.4
경기,60m²,2015,12,10866.9
경기,60m²~85m²,2015,12,10936.199999999999
경기,85m²~102m²,2015,12,11381.699999999999
경기,102m²~,2015,12,12705.0
부산,모든면적,2015,12,10319.099999999999
부산,60m²,2015,12,9738.3
부산,60m²~85m²,2015,12,10005.6
부산,85m²~102m²,2015,12,9758.1
부산,102m²~,2015,12,12338.699999999999
대구,모든면적,2015,12,9774.6
대구,60m²,2015,12,10830.599999999999
대구,60m²~85m²,2015,12,9804.3
대구,85m²~102m²,2015,12,8355.6
대구,102m²~,2015,12,9051.9
광주,모든면적,2015,12,8170.799999999999
광주,60m²,2015,12,7903.5
